Name of Player,Country Code,Discipline,Latitude,Longitude
AALERUD Katrine,NORWAY,Cycling Road,60.472024,8.468946
ABAD Nestor,SPAIN,Artistic Gymnastics,40.463667,-3.74922
ABAGNALE Giovanni,ITALY,Rowing,41.87194,12.56738
ABALDE Alberto,SPAIN,Basketball,40.463667,-3.74922
ABALDE Tamara,SPAIN,Basketball,40.463667,-3.74922
ABALO Luc,FRANCE,Handball,46.227638,2.213749
ABAROA Cesar,CHILE,Rowing,-35.675147,-71.542969
ABASS Abobakr,SUDAN,Swimming,12.862807,30.217636
ABBASALI Hamideh,ISLAMIC REPUBLIC OF IRAN,Karate,32.4279,53.6880
ABBASOV Islam,AZERBAIJAN,Wrestling,40.143105,47.576927
ABBINGH Lois,NETHERLANDS,Handball,52.132633,5.291266
ABBOT Emily,AUSTRALIA,Rhythmic Gymnastics,-25.274398,133.775136
ABBOTT Monica,UNITED STATES OF AMERICA,Baseball/Softball,-22.95764,18.49041
ABDALLA Abubaker Haydar,QATAR,Athletics,25.354826,51.183884
ABDALLA Maryam,EGYPT,Artistic Swimming,26.820553,30.802498
ABDALLAH Shahd,EGYPT,Artistic Swimming,26.820553,30.802498
ABDALRASOOL Mohamed,SUDAN,Judo,12.862807,30.217636
ABDEL LATIF Radwa,EGYPT,Shooting,26.820553,30.802498
ABDEL RAZEK Samy,EGYPT,Shooting,26.820553,30.802498
ABDELAZIZ Abdalla,EGYPT,Karate,26.820553,30.802498
ABDELAZIZ Farah,EGYPT,Table Tennis,26.820553,30.802498
ABDELAZIZ Feryal,EGYPT,Karate,26.820553,30.802498
ABDELMAWGOUD Mohamed,EGYPT,Judo,26.820553,30.802498
ABDELMOTTALEB Diaaeldin Kamal Gouda,EGYPT,Wrestling,26.820553,30.802498
ABDELRAHMAN Ihab,EGYPT,Athletics,26.820553,30.802498
ABDELSALAM Mohamed,EGYPT,Football,26.820553,30.802498
ABDELSALAM Nour,EGYPT,Taekwondo,26.820553,30.802498
ABDELWAHED Ahmed,ITALY,Athletics,41.87194,12.56738
ABDI Bashir,BELGIUM,Athletics,50.503887,4.469936
ABDIRAHMAN Abdi,UNITED STATES OF AMERICA,Athletics,-22.95764,18.49041
ABDUL HADI Farah Ann,MALAYSIA,Artistic Gymnastics,4.210484,101.975766
ABDUL RAHMAN Kiria Tikanah,SINGAPORE,Fencing,1.352083,103.819836
ABDUL RAZZAQ Fathimath Nabaaha,MALDIVES,Badminton,3.202778,73.22068
ABDULHAMID Saud,SAUDI ARABIA,Football,23.885942,45.079162
ABDULJABBAR Ammar Riad,GERMANY,Boxing,51.165691,10.451526
ABDULLAEV Gulomjon,UZBEKISTAN,Wrestling,41.377491,64.585262
ABDULLAEV Muminjon,UZBEKISTAN,Wrestling,41.377491,64.585262
ABDULLAH Rahmat Erwin,INDONESIA,Weightlifting,-0.789275,113.921327
ABDULLIN Ilfat,KAZAKHSTAN,Archery,48.019573,66.923684
ABDULREDHA Mohamed,BAHRAIN,Handball,25.930414,50.637772
ABDURAIMOV Elnur,UZBEKISTAN,Boxing,41.377491,64.585262
ABDURAKHIMOV Rasuljon,UZBEKISTAN,Artistic Gymnastics,41.377491,64.585262
ABDURAKHMONOV Bekzod,UZBEKISTAN,Wrestling,41.377491,64.585262
ABE Hifumi,JAPAN,Judo,36.204824,138.252924
ABE Takatoshi,JAPAN,Athletics,36.204824,138.252924
ABE Uta,JAPAN,Judo,36.204824,138.252924
ABEBE Mekides,ETHIOPIA,Athletics,9.145,40.489673
ABEDINI Mojtaba,ISLAMIC REPUBLIC OF IRAN,Fencing,-22.95764,18.49041
ABEL Jennifer,CANADA,Diving,56.130366,-106.346771
ABELA Matthew,MALTA,Badminton,35.937496,14.375416
ABELVIK ROED Magnus,NORWAY,Handball,60.472024,8.468946
ABEYSINGHE Matthew,SRI LANKA,Swimming,7.873054,80.771797
ABIAN Pablo,SPAIN,Badminton,40.463667,-3.74922
ABICHA Mohammed,MOROCCO,Beach Volleyball,31.791702,-7.09262
ABICHT Lorena,AUSTRIA,Sailing,47.516231,14.550072
ABIDINE Abidine,MAURITANIA,Athletics,21.00789,-10.940835
ABLIAZIN Denis,ROC,Artistic Gymnastics,-22.95764,18.49041
ABOUD Hadel,LIBYA,Athletics,26.3351,17.228331
ABOUELKASSEM Alaaeldin,EGYPT,Fencing,26.820553,30.802498
ABOUKE Nancy Genzel,NAURU,Weightlifting,-0.522778,166.931503
ABRAHAM Tadesse,SWITZERLAND,Athletics,46.818188,8.227512
ABRAHAMS Rusten John,SOUTH AFRICA,Hockey,-30.559482,22.937506
ABRAMS Aliyah,GUYANA,Athletics,4.860416,-58.93018
ABRAMS Jasmine,GUYANA,Athletics,4.860416,-58.93018
ABRAMYAN Benik,GEORGIA,Athletics,42.315407,43.356892
ABREU Diogo,PORTUGAL,Trampoline Gymnastics,39.399872,-8.224454
ABRINES REDONDO Alejandro,SPAIN,Basketball,40.463667,-3.74922
ABROSIMOV Kirill,ROC,Marathon Swimming,-22.95764,18.49041
ABU RABEE Asma,JORDAN,Shooting,30.585164,36.238414
ABU RMILAH Wesam,PALESTINE,Judo,-22.95764,18.49041
ABUAKU Joshua,GERMANY,Athletics,51.165691,10.451526
ABUJBARA Tala,QATAR,Rowing,25.354826,51.183884
ACERENZA Domenico,ITALY,Swimming,41.87194,12.56738
ACETI Vladimir,ITALY,Athletics,41.87194,12.56738
ACHAB Jaouad,BELGIUM,Taekwondo,50.503887,4.469936
ACHANTA Kamal,INDIA,Table Tennis,20.593684,78.96288
