Name of Player,Country Code,Discipline,Latitude,Longitude
AALERUD Katrine,NO,Cycling Road,60.472024,8.468946
ABELVIK ROED Magnus,NO,Handball,60.472024,8.468946
BERGERUD Torbjoern,NO,Handball,60.472024,8.468946
BJOERNSEN Kristian,NO,Handball,60.472024,8.468946
BLUMMENFELT Kristian,NO,Triathlon,60.472024,8.468946
BORCH Kjetil,NO,Rowing,60.472024,8.468946
BORGLI Stine,NO,Cycling Road,60.472024,8.468946
BRATTSET DALE Kari,NO,Handball,60.472024,8.468946
BREDAL OFTEDAL Stine,NO,Handball,60.472024,8.468946
BREISTOEL Kristine,NO,Handball,60.472024,8.468946
BRUN Kristoffer,NO,Rowing,60.472024,8.468946
CHRISTIANSEN Henrik,NO,Swimming,60.472024,8.468946
DAFFINRUD Tonje Frydenberg,NO,Golf,60.472024,8.468946
DUESTAD Jeanette Hegg,NO,Shooting,60.472024,8.468946
ERICHSEN Julie,NO,Artistic Gymnastics,60.472024,8.468946
FLEM HOEST Line,NO,Sailing,60.472024,8.468946
FOSS Tobias S.,NO,Cycling Road,60.472024,8.468946
FRAFJORD Marit Malm,NO,Handball,60.472024,8.468946
FREDRIKSEN Magnus,NO,Handball,60.472024,8.468946
FUNNEMARK Endre,NO,Sailing,60.472024,8.468946
GRINDHEIM Andre Klippenberg,NO,Swimming,60.472024,8.468946
GROVDAL Karoline Bjerkeli,NO,Athletics,60.472024,8.468946
GULLERUD Magnus,NO,Handball,60.472024,8.468946
GULLIKSEN Geir,NO,Equestrian,60.472024,8.468946
GULLIKSEN Kevin,NO,Handball,60.472024,8.468946
GUTTORMSEN Sondre,NO,Athletics,60.472024,8.468946
HAEGSTAD Erik,NO,Cycling Mountain Bike,60.472024,8.468946
HAUKENES Havard,NO,Athletics,60.472024,8.468946
HEGG Jon-Hermann,NO,Shooting,60.472024,8.468946
HEGGEMSNES Sofus,NO,Artistic Gymnastics,60.472024,8.468946
HELSETH Martin,NO,Rowing,60.472024,8.468946
HELVIG Jan Oscar Stabe,NO,Rowing,60.472024,8.468946
HENRIKSEN Eivind,NO,Athletics,60.472024,8.468946
HERREM Camilla,NO,Handball,60.472024,8.468946
HOELGAARD Markus,NO,Cycling Road,60.472024,8.468946
HOVLAND Viktor,NO,Golf,60.472024,8.468946
HVAS Tomoe,NO,Swimming,60.472024,8.468946
HYNNE Hedda,NO,Athletics,60.472024,8.468946
IDEN Gustav,NO,Triathlon,60.472024,8.468946
INGEBRIGTSEN Filip,NO,Athletics,60.472024,8.468946
INGEBRIGTSEN Jakob,NO,Athletics,60.472024,8.468946
IUEL Amalie,NO,Athletics,60.472024,8.468946
JACOBSEN Marit,NO,Handball,60.472024,8.468946
JOENDAL Magnus,NO,Handball,60.472024,8.468946
JOHANNESSEN Tobias Halland,NO,Cycling Road,60.472024,8.468946
JOHANSEN Vilde Ingeborg,NO,Handball,60.472024,8.468946
KLOSTER Line,NO,Athletics,60.472024,8.468946
KRISTIANSEN Veronica,NO,Handball,60.472024,8.468946
LARSEN Henrik,NO,Shooting,60.472024,8.468946
LEKNESSUND Andreas,NO,Cycling Road,60.472024,8.468946
LOEYNING Ingeborg,NO,Swimming,60.472024,8.468946
LUNDE Katrine,NO,Handball,60.472024,8.468946
MARTINSEN Nicholas Fadler,NO,Sailing,60.472024,8.468946
MILLER Lotte,NO,Triathlon,60.472024,8.468946
MOEN Sondre Nordstad,NO,Athletics,60.472024,8.468946
MOERK Nora,NO,Handball,60.472024,8.468946
MOL Anders Berntsen,NO,Beach Volleyball,60.472024,8.468946
MORTENSEN Martine Steller,NO,Sailing,60.472024,8.468946
MYRHOL Bjarte,NO,Handball,60.472024,8.468946
NAESS Helene,NO,Sailing,60.472024,8.468946
NAVRESTAD Tore,NO,Cycling BMX Racing,60.472024,8.468946
NORDAS Narve Gilje,NO,Athletics,60.472024,8.468946
O'SULLIVAN Christian,NO,Handball,60.472024,8.468946
OEVERBY Petter,NO,Handball,60.472024,8.468946
ORDEMANN Richard Andre,NO,Taekwondo,60.472024,8.468946
PEDERSEN Anders Oestre,NO,Sailing,60.472024,8.468946
PETTERSEN Simen,NO,Handball,60.472024,8.468946
REINKIND Harald,NO,Handball,60.472024,8.468946
REISTAD Henny,NO,Handball,60.472024,8.468946
RETZIUS Lene Onsrud,NO,Athletics,60.472024,8.468946
ROE Martin,NO,Athletics,60.472024,8.468946
ROENNINGEN Marie,NO,Sailing,60.472024,8.468946
SAEVERAAS Kristian,NO,Handball,60.472024,8.468946
SAGOSEN Sander,NO,Handball,60.472024,8.468946
SKOGRAND Stine,NO,Handball,60.472024,8.468946
SOLBAKKEN Erik Andre,NO,Rowing,60.472024,8.468946
SOLBERG ISAKSEN Sanna,NO,Handball,60.472024,8.468946
SOLBERG Silje,NO,Handball,60.472024,8.468946
SORUM Christian Sandlie,NO,Beach Volleyball,60.472024,8.468946
STENBERG Anita Yvonne,NO,Cycling Track,60.472024,8.468946
STENE Jenny,NO,Shooting,60.472024,8.468946
STORNES Casper,NO,Triathlon,60.472024,8.468946
STRANDLI Are Weierholt,NO,Rowing,60.472024,8.468946
STUNES ISENE Ola,NO,Athletics,60.472024,8.468946
TOENNESEN Kent Robin,NO,Handball,60.472024,8.468946
TOMAC Marta,NO,Handball,60.472024,8.468946
TOMASGAARD Hermann,NO,Sailing,60.472024,8.468946
TUFTE Olaf Karl,NO,Rowing,60.472024,8.468946
TUXEN Anne,NO,Diving,60.472024,8.468946
ULLVANG Lars Magne,NO,Canoe Sprint,60.472024,8.468946
WARHOLM Karsten,NO,Athletics,60.472024,8.468946
WATNDAL Erik,NO,Shooting,60.472024,8.468946
ABAD Nestor,ES,Artistic Gymnastics,40.463667,-3.74922
ABALDE Alberto,ES,Basketball,40.463667,-3.74922
ABALDE Tamara,ES,Basketball,40.463667,-3.74922
ABIAN Pablo,ES,Badminton,40.463667,-3.74922
ABRINES REDONDO Alejandro,ES,Basketball,40.463667,-3.74922
AGUINAGALDE AQUIZU Julen,ES,Handball,40.463667,-3.74922
AGUIRRE Unai,ES,Water Polo,40.463667,-3.74922
ALARZA Fernando,ES,Triathlon,40.463667,-3.74922
ALEGRE BIOSCA David,ES,Hockey,40.463667,-3.74922
ALONSO Alejandro,ES,Hockey,40.463667,-3.74922
ALVAREZ AZNAR Eduardo,ES,Equestrian,40.463667,-3.74922
ANDUJAR Pablo,ES,Tennis,40.463667,-3.74922
ARCE Daniel,ES,Athletics,40.463667,-3.74922
ARCOS POVEDA Paula,ES,Handball,40.463667,-3.74922
ARENAS Julio,ES,Athletics,40.463667,-3.74922
AREVALO ALCON Alberto,ES,Diving,40.463667,-3.74922
AREVALO Carlos,ES,Canoe Sprint,40.463667,-3.74922
ARNAUS Adri,ES,Golf,40.463667,-3.74922
AZURMENDI Clara,ES,Badminton,40.463667,-3.74922
BACH Marta,ES,Water Polo,40.463667,-3.74922
BADOSA Paula,ES,Tennis,40.463667,-3.74922
BALASTEGUI Manel,ES,Rowing,40.463667,-3.74922
BAQUERIZO McMILLAN Elsa,ES,Beach Volleyball,40.463667,-3.74922
BARCELO MARTIN Paula,ES,Sailing,40.463667,-3.74922
BARRIOS NAVARRO Laura,ES,Hockey,40.463667,-3.74922
BASTERRA Jose Maria,ES,Hockey,40.463667,-3.74922
BECHDEJU Laura,ES,Artistic Gymnastics,40.463667,-3.74922
BELMONTE Mireia,ES,Swimming,40.463667,-3.74922
BELTRAN MIR Albert,ES,Hockey,40.463667,-3.74922
BEN Adrian,ES,Athletics,40.463667,-3.74922
BEN DAOUD Hamid,ES,Athletics,40.463667,-3.74922
BENEDETTI Julia,ES,Skateboarding,40.463667,-3.74922
BENITEZ Andrea,ES,Skateboarding,40.463667,-3.74922
BERNABEU Maria,ES,Judo,40.463667,-3.74922
BESTUE Jael,ES,Athletics,40.463667,-3.74922
BOKESA Aauri Lorena,ES,Athletics,40.463667,-3.74922
BOLTO Marc,ES,Hockey,40.463667,-3.74922
BONASTRE PEREMATEU Berta,ES,Hockey,40.463667,-3.74922
BOTIN le CHEVER Diego,ES,Sailing,40.463667,-3.74922
BUENO Laura,ES,Athletics,40.463667,-3.74922
BUSTOS SANCHEZ Alejandro,ES,Water Polo,40.463667,-3.74922
CABANA PEREZ Cristina,ES,Judo,40.463667,-3.74922
CABRAL BARBOSA Alexandrina,ES,Handball,40.463667,-3.74922
CACERES Eusebio,ES,Athletics,40.463667,-3.74922
CANALEJO PAZOS Jaime,ES,Rowing,40.463667,-3.74922
CANO RUIZ Carmen,ES,Hockey,40.463667,-3.74922
CANTERO REINA Patricia,ES,Sailing,40.463667,-3.74922
CARBALLES BAENA Roberto,ES,Tennis,40.463667,-3.74922
CARBONELL BALLESTERO Ona,ES,Artistic Swimming,40.463667,-3.74922
CARDONA MENDEZ Joan,ES,Sailing,40.463667,-3.74922
CARRERA QUINTANA Raquel,ES,Basketball,40.463667,-3.74922
CARRO Fernando,ES,Athletics,40.463667,-3.74922
CASAS Queralt,ES,Basketball,40.463667,-3.74922
CASILLAS GARCIA Miriam,ES,Triathlon,40.463667,-3.74922
CASTELLANOS SOANEZ Mercedes,ES,Handball,40.463667,-3.74922
CASTRO Daniel,ES,Archery,40.463667,-3.74922
CAZORLA MEDINA Maria Teresa,ES,Basketball,40.463667,-3.74922
CEBALLOS Dani,ES,Football,40.463667,-3.74922
CEREZO IGLESIAS Adriana,ES,Taekwondo,40.463667,-3.74922
CESAREO ROMERO Elisabet,ES,Handball,40.463667,-3.74922
CHOURRAUT Maialen,ES,Canoe Slalom,40.463667,-3.74922
CID Aina,ES,Rowing,40.463667,-3.74922
CIENFUEGOS Javier,ES,Athletics,40.463667,-3.74922
CLAVER Victor,ES,Basketball,40.463667,-3.74922
CONDE Maria,ES,Basketball,40.463667,-3.74922
CONTRERAS Isabel,ES,Canoe Sprint,40.463667,-3.74922
CORCHETE Luis Manuel,ES,Athletics,40.463667,-3.74922
CORRALES RODAL Rodrigo,ES,Handball,40.463667,-3.74922
CORTES JUNCOSA Francisco,ES,Hockey,40.463667,-3.74922
CRAVIOTTO Saul,ES,Canoe Sprint,40.463667,-3.74922
CUBELOS Francisco,ES,Canoe Sprint,40.463667,-3.74922
CUCURELLA Marc,ES,Football,40.463667,-3.74922
CULLELL ESTAPE Jofre,ES,Cycling Mountain Bike,40.463667,-3.74922
DAVIDOVICH FOKINA Alejandro,ES,Tennis,40.463667,-3.74922
de TORO DOMINGUEZ Miguel,ES,Water Polo,40.463667,-3.74922
de VELASCO Ines,ES,Archery,40.463667,-3.74922
DELAS de ANDRES Miguel,ES,Hockey,40.463667,-3.74922
DIALLO Thierno,ES,Artistic Gymnastics,40.463667,-3.74922
DIAZ RIVAS Virginia,ES,Rowing,40.463667,-3.74922
DOMINGUEZ Silvia,ES,Basketball,40.463667,-3.74922
